A,"Vehicle A: ([(1, 2), (1, 3), (1, 4)])"
B,"Vehicle B: ([(1, 9), (1, 10)])"
C,"Vehicle C: ([(2, 1), (1, 1)])"
D,"Vehicle D: ([(2, 7), (1, 7)])"
E,"Vehicle E: ([(3, 6), (3, 7), (3, 8)])"
F,"Vehicle F: ([(3, 9), (3, 10)])"
G,"Vehicle G: ([(2, 6), (1, 6)])"
H,"Vehicle H: ([(3, 11), (3, 12)])"
I,"Vehicle I: ([(2, 11), (1, 11)])"
J,"Vehicle J: ([(2, 12), (1, 12)])"
K,"Vehicle K: ([(4, 9), (4, 10)])"
L,"Vehicle L: ([(4, 11), (4, 12)])"
M,"Vehicle M: ([(5, 3), (5, 4), (5, 5)])"
N,"Vehicle N: ([(5, 6), (4, 6)])"
O,"Vehicle O: ([(6, 7), (5, 7), (4, 7)])"
P,"Vehicle P: ([(5, 9), (5, 10), (5, 11)])"
Q,"Vehicle Q: ([(11, 1), (10, 1), (9, 1)])"
R,"Vehicle R: ([(5, 2), (4, 2), (3, 2)])"
S,"Vehicle S: ([(7, 1), (7, 2), (7, 3)])"
T,"Vehicle T: ([(2, 5), (1, 5)])"
U,"Vehicle U: ([(7, 6), (6, 6)])"
V,"Vehicle V: ([(8, 2), (8, 3), (8, 4)])"
W,"Vehicle W: ([(12, 4), (11, 4)])"
Y,"Vehicle Y: ([(8, 5), (8, 6)])"
AA,"Vehicle AA: ([(5, 8), (4, 8)])"
AB,"Vehicle AB: ([(8, 10), (7, 10)])"
AC,"Vehicle AC: ([(8, 8), (8, 9)])"
AD,"Vehicle AD: ([(9, 2), (9, 3)])"
AE,"Vehicle AE: ([(9, 4), (9, 5), (9, 6)])"
AF,"Vehicle AF: ([(9, 7), (8, 7), (7, 7)])"
AG,"Vehicle AG: ([(9, 8), (9, 9), (9, 10)])"
AH,"Vehicle AH: ([(12, 3), (11, 3)])"
AI,"Vehicle AI: ([(10, 2), (10, 3), (10, 4)])"
AJ,"Vehicle AJ: ([(10, 11), (10, 12)])"
AK,"Vehicle AK: ([(8, 12), (7, 12)])"
AL,"Vehicle AL: ([(12, 1), (12, 2)])"
AM,"Vehicle AM: ([(12, 8), (12, 9), (12, 10)])"
AN,"Vehicle AN: ([(12, 7), (11, 7), (10, 7)])"
AP,"Vehicle AP: ([(9, 11), (8, 11), (7, 11)])"
AO,"Vehicle AO: ([(11, 10), (10, 10)])"
AQ,"Vehicle AQ: ([(12, 12), (11, 12)])"
X,"Vehicle X: ([(6, 11), (6, 12)])"
