A,"[(1, 3), (1, 4), (1, 5)]"
B,"[(3, 6), (2, 6)]"
C,"[(2, 7), (1, 7)]"
D,"[(2, 1), (2, 2)]"
E,"[(9, 4), (8, 4), (7, 4)]"
F,"[(3, 4), (3, 5)]"
G,"[(4, 3), (4, 4)]"
H,"[(4, 7), (3, 7)]"
I,"[(4, 8), (4, 9)]"
J,"[(5, 2), (5, 3), (5, 4)]"
K,"[(6, 1), (5, 1)]"
L,"[(3, 3), (2, 3)]"
M,"[(7, 2), (7, 3)]"
N,"[(8, 6), (7, 6), (6, 6)]"
O,"[(7, 7), (7, 8)]"
P,"[(3, 9), (2, 9), (1, 9)]"
Q,"[(8, 2), (8, 3)]"
R,"[(8, 7), (8, 8), (8, 9)]"
S,"[(9, 1), (8, 1)]"
T,"[(4, 2), (3, 2)]"
U,"[(9, 8), (9, 9)]"
V,"[(7, 5), (6, 5)]"
W,"[(7, 9), (6, 9)]"
X,"[(5, 8), (5, 9)]"
